date,symbol,open,high,low,close,volume,openinterest,pe_ttm,pb
2020-01-02,sh.601111,9.7462274,9.92523974,9.60699558,9.7462274,52829204,0.0,19.877532,1.516719
2020-01-03,sh.601111,9.82578844,9.8456787,9.37825759,9.43792837,81346496,0.0,19.248753,1.468741
2020-01-06,sh.601111,9.20919038,9.20919038,8.99039752,9.06995856,141916019,0.0,18.498275,1.411477
2020-01-07,sh.601111,9.10973908,9.2489709,9.07990369,9.2489709,70156262,0.0,18.863373,1.439335
2020-01-08,sh.601111,9.00034265,9.08984882,8.96056213,9.00034265,89811921,0.0,18.356293,1.400643
2020-01-09,sh.601111,9.21913551,9.52743454,9.13957447,9.48765402,125796414,0.0,19.350169,1.476479
2020-01-10,sh.601111,9.48765402,9.53737967,9.35836733,9.37825759,44672780,0.0,19.127054,1.459455
2020-01-13,sh.601111,9.40809298,9.57716019,9.27880629,9.47770889,47459720,0.0,19.329886,1.474932
2020-01-14,sh.601111,9.72633714,9.79595305,9.40809298,9.42798324,82210908,0.0,19.22847,1.467193
2020-01-15,sh.601111,9.37825759,9.4478735,9.22908064,9.37825759,46774141,0.0,19.127054,1.459455
2020-01-16,sh.601111,9.40809298,9.41803811,9.20919038,9.2489709,36060244,0.0,18.863373,1.439335
2020-01-17,sh.601111,9.28875142,9.29869655,9.10973908,9.1495196,45154231,0.0,18.660541,1.423859
2020-01-20,sh.601111,8.93072674,8.93072674,8.64231797,8.77160466,169987998,0.0,17.889779,1.365047
2020-01-21,sh.601111,8.6522631,8.6522631,8.43347024,8.49314102,113969332,0.0,17.32185,1.321712
2020-01-22,sh.601111,8.39368972,8.58264719,8.36385433,8.58264719,70801624,0.0,17.504398,1.335641
2020-01-23,sh.601111,8.43347024,8.43347024,8.07544556,8.20473225,102471148,0.0,16.733637,1.27683
2020-02-03,sh.601111,7.38923159,7.38923159,7.38923159,7.38923159,23887700,0.0,15.070415,1.149921
2020-02-04,sh.601111,6.961591,7.29972542,6.961591,7.22016438,135668426,0.0,14.725601,1.12361
2020-02-05,sh.601111,7.29972542,7.62791471,7.24999977,7.53840854,105226343,0.0,15.374663,1.173136
2020-02-06,sh.601111,7.61796958,7.84670757,7.54835367,7.84670757,86244853,0.0,16.003442,1.221113
2020-02-07,sh.601111,7.77709166,7.97599426,7.67764036,7.90637835,65721305,0.0,16.125141,1.230399
2020-02-10,sh.601111,7.76714653,7.86659783,7.68758549,7.82681731,53845925,0.0,15.962876,1.218018
2020-02-11,sh.601111,7.89643322,8.0555553,7.83676244,7.98593939,66357708,0.0,16.287407,1.242781
2020-02-12,sh.601111,7.93621374,8.01577478,7.84670757,8.01577478,39256232,0.0,16.348256,1.247424
2020-02-13,sh.601111,7.956104,8.03566504,7.79698192,7.83676244,41824181,0.0,15.983159,1.219566
2020-02-14,sh.601111,7.80692705,7.98593939,7.7572014,7.96604913,51271299,0.0,16.24684,1.239686
2020-02-17,sh.601111,7.93621374,8.12517121,7.89643322,8.10528095,60210630,0.0,16.530805,1.261353
2020-02-18,sh.601111,8.11522608,8.11522608,7.96604913,8.02571991,41579758,0.0,16.368539,1.248972
2020-02-19,sh.601111,8.02571991,8.23456764,7.98593939,8.07544556,74057287,0.0,16.469955,1.25671
2020-02-20,sh.601111,8.27434816,8.44341537,8.19478712,8.34396407,112479707,0.0,17.017602,1.298497
2020-02-21,sh.601111,8.2544579,8.26440303,8.11522608,8.19478712,91686720,0.0,16.713354,1.275282
2020-02-24,sh.601111,8.07544556,8.10528095,7.78703679,7.84670757,137736942,0.0,16.003442,1.221113
2020-02-25,sh.601111,7.66769523,7.82681731,7.58813419,7.81687218,81991464,0.0,15.942592,1.21647
2020-02-26,sh.601111,7.6577501,7.91632348,7.63785984,7.78703679,83947117,0.0,15.881743,1.211827
2020-02-27,sh.601111,7.78703679,7.82681731,7.72736601,7.72736601,36541258,0.0,15.760044,1.202541
2020-02-28,sh.601111,7.50857315,7.58813419,7.39917672,7.41906698,69126873,0.0,15.131265,1.154564
2020-03-02,sh.601111,7.43895724,7.64780497,7.43895724,7.59807932,57683948,0.0,15.496362,1.182422
2020-03-03,sh.601111,7.64780497,7.79698192,7.57818906,7.62791471,61261865,0.0,15.557212,1.187065
2020-03-04,sh.601111,7.6577501,7.70747575,7.56824393,7.68758549,47494837,0.0,15.678911,1.196351
2020-03-05,sh.601111,7.7572014,7.90637835,7.69753062,7.84670757,95088452,0.0,16.003442,1.221113
2020-03-06,sh.601111,7.71742088,7.73731114,7.62791471,7.66769523,61069468,0.0,15.638344,1.193255
2020-03-09,sh.601111,7.81687218,8.07544556,7.66769523,7.91632348,174964672,0.0,16.145424,1.231947
2020-03-10,sh.601111,7.76714653,8.02571991,7.58813419,7.99588452,115133321,0.0,16.30769,1.244329
2020-03-11,sh.601111,7.90637835,8.34396407,7.87654296,8.11522608,128620574,0.0,16.551088,1.262901
2020-03-12,sh.601111,7.98593939,8.01577478,7.77709166,7.81687218,74176858,0.0,15.942592,1.21647
2020-03-13,sh.601111,7.36934133,7.82681731,7.30967055,7.72736601,75229333,0.0,15.760044,1.202541
2020-03-16,sh.601111,7.76714653,7.79698192,7.38923159,7.43895724,57553023,0.0,15.171831,1.157659
2020-03-17,sh.601111,7.42901211,7.54835367,7.1604936,7.23010951,60339998,0.0,14.745884,1.125158
2020-03-18,sh.601111,7.23010951,7.24999977,6.91186535,6.94170074,81377439,0.0,14.157671,1.080275
2020-03-19,sh.601111,6.83230431,6.90192022,6.45438937,6.54389554,109287686,0.0,13.346343,1.018368
2020-03-20,sh.601111,6.5637858,6.69307249,6.45438937,6.65329197,84029510,0.0,13.569458,1.035393
2020-03-23,sh.601111,6.3648832,6.44444424,6.27537703,6.31515755,58406878,0.0,12.87983,0.982772
2020-03-24,sh.601111,6.41460885,6.50411502,6.34499294,6.47427963,47823255,0.0,13.204361,1.007535
2020-03-25,sh.601111,6.72290788,6.97153613,6.6632371,6.88202996,94083403,0.0,14.035972,1.070989
2020-03-26,sh.601111,6.82235918,6.92181048,6.77263353,6.84224944,41675410,0.0,13.954839,1.064799
2020-03-27,sh.601111,6.95164587,6.95164587,6.68312736,6.71296275,48785521,0.0,13.691158,1.044679
2020-03-30,sh.601111,6.52400528,6.64334684,6.43449911,6.58367606,33814939,0.0,13.427476,1.024559
2020-03-31,sh.601111,6.65329197,6.67318223,6.44444424,6.47427963,39320205,0.0,13.204361,1.007535
2020-04-01,sh.601111,6.4643345,6.71296275,6.43449911,6.58367606,49102941,0.0,15.004,1.028324
2020-04-02,sh.601111,6.52400528,6.69307249,6.50411502,6.69307249,32505964,0.0,15.253312,1.045411
2020-04-03,sh.601111,6.67318223,6.67318223,6.5637858,6.60356632,25827835,0.0,15.04933,1.03143
2020-04-07,sh.601111,6.6632371,6.71296275,6.61351145,6.68312736,46156334,0.0,15.230647,1.043857
2020-04-08,sh.601111,6.6632371,6.89197509,6.61351145,6.81241405,65852835,0.0,15.525287,1.064051
2020-04-09,sh.601111,6.82235918,6.89197509,6.77263353,6.82235918,35306555,0.0,15.547952,1.065604
2020-04-10,sh.601111,6.79252379,6.82235918,6.69307249,6.70301762,31169763,0.0,15.275976,1.046964
2020-04-13,sh.601111,6.62345658,6.6632371,6.51406015,6.53395041,29977436,0.0,14.890677,1.020557
2020-04-14,sh.601111,6.54389554,6.60356632,6.51406015,6.60356632,33151185,0.0,15.04933,1.03143
2020-04-15,sh.601111,6.63340171,6.79252379,6.59362119,6.73285301,47254578,0.0,15.34397,1.051624
2020-04-16,sh.601111,6.6632371,6.71296275,6.62345658,6.6632371,21704585,0.0,15.185318,1.04075
2020-04-17,sh.601111,6.77263353,6.94170074,6.72290788,6.78257866,68334686,0.0,15.457293,1.059391
2020-04-20,sh.601111,6.78257866,6.88202996,6.72290788,6.79252379,38724497,0.0,15.479958,1.060944
2020-04-21,sh.601111,6.79252379,6.79252379,6.62345658,6.68312736,36106665,0.0,15.230647,1.043857
2020-04-22,sh.601111,6.62345658,6.88202996,6.61351145,6.8621397,44297872,0.0,15.638611,1.071818
2020-04-23,sh.601111,6.83230431,6.95164587,6.80246892,6.89197509,39481322,0.0,15.706605,1.076478
2020-04-24,sh.601111,6.84224944,6.8621397,6.72290788,6.73285301,22987359,0.0,15.34397,1.051624
2020-04-27,sh.601111,6.73285301,6.77263353,6.64334684,6.6632371,26221291,0.0,15.185318,1.04075
2020-04-28,sh.601111,6.68312736,6.73285301,6.60356632,6.69307249,35559574,0.0,15.253312,1.045411
2020-04-29,sh.601111,6.68312736,6.85219457,6.68312736,6.81241405,35633474,0.0,15.525287,1.064051
2020-04-30,sh.601111,7.1604936,7.32956081,7.08093256,7.21021925,112969867,0.0,-94.068435,1.181633
2020-05-06,sh.601111,6.961591,7.01131665,6.84224944,6.95164587,89857496,0.0,-90.694947,1.139257
2020-05-07,sh.601111,6.91186535,6.93175561,6.83230431,6.85219457,42438935,0.0,-89.397451,1.122959
2020-05-08,sh.601111,6.87208483,6.93175561,6.8621397,6.92181048,35663989,0.0,-90.305698,1.134368
2020-05-11,sh.601111,6.93175561,7.02126178,6.88202996,6.90192022,34877663,0.0,-90.046199,1.131108
2020-05-12,sh.601111,6.8621397,6.87208483,6.7626884,6.81241405,44731512,0.0,-88.878453,1.116439
2020-05-13,sh.601111,6.7626884,6.79252379,6.70301762,6.77263353,23644176,0.0,-88.359455,1.10992
2020-05-14,sh.601111,6.71296275,6.73285301,6.67318223,6.69307249,27517644,0.0,-87.321458,1.096881
2020-05-15,sh.601111,6.73285301,6.73285301,6.62345658,6.63340171,31413668,0.0,-86.542961,1.087102
2020-05-18,sh.601111,6.60356632,6.61351145,6.53395041,6.58367606,33296565,0.0,-85.894213,1.078953
2020-05-19,sh.601111,6.74279814,6.85219457,6.68312736,6.70301762,52860332,0.0,-87.451208,1.098511
2020-05-20,sh.601111,6.6632371,6.70301762,6.59362119,6.63340171,32701439,0.0,-86.542961,1.087102
2020-05-21,sh.601111,6.65329197,6.6632371,6.53395041,6.54389554,30732190,0.0,-85.375215,1.072434
2020-05-22,sh.601111,6.53395041,6.53395041,6.37482833,6.40466372,41584620,0.0,-83.558721,1.049616
2020-05-25,sh.601111,6.39471859,6.39471859,6.28532216,6.30521242,35467751,0.0,-82.261225,1.033318
2020-05-26,sh.601111,6.32510268,6.39471859,6.30521242,6.37482833,32774271,0.0,-83.169472,1.044727
2020-05-27,sh.601111,6.4643345,6.51406015,6.40466372,6.41460885,40042585,0.0,-83.68847,1.051246
2020-05-28,sh.601111,6.39471859,6.4643345,6.34499294,6.40466372,25258892,0.0,-83.558721,1.049616
2020-05-29,sh.601111,6.37482833,6.44444424,6.33504781,6.43449911,33662707,0.0,-83.947969,1.054506
2020-06-01,sh.601111,6.45438937,6.60356632,6.43449911,6.59362119,44345968,0.0,-86.023962,1.080583
2020-06-02,sh.601111,6.62345658,6.73285301,6.58367606,6.68312736,52125993,0.0,-87.191708,1.095252
2020-06-03,sh.601111,6.72290788,6.89197509,6.65329197,6.74279814,62923695,0.0,-87.970206,1.105031
2020-06-04,sh.601111,6.68312736,6.72290788,6.5637858,6.68312736,63700143,0.0,-87.191708,1.095252
2020-06-05,sh.601111,6.8621397,7.24005464,6.78257866,7.14060334,185087171,0.0,-93.160189,1.170224
2020-06-08,sh.601111,7.18038386,7.40912185,7.0610423,7.24999977,114157742,0.0,-94.587434,1.188152
2020-06-10,sh.601111,7.27983516,7.28978029,6.961591,7.00137152,76338826,0.0,-91.343695,1.147406
2020-06-11,sh.601111,6.92181048,6.95164587,6.7626884,6.7626884,69482520,0.0,-88.229705,1.10829
2020-06-12,sh.601111,6.61351145,6.68312736,6.55384067,6.64334684,107260137,0.0,-86.67271,1.088732
2020-06-15,sh.601111,6.5637858,6.62345658,6.47427963,6.50411502,64827006,0.0,-84.856216,1.065914
2020-06-16,sh.601111,6.59362119,6.64334684,6.5637858,6.60356632,39205766,0.0,-86.153712,1.082213
2020-06-17,sh.601111,6.5637858,6.58367606,6.51406015,6.58367606,34204304,0.0,-85.894213,1.078953
2020-06-18,sh.601111,6.57373093,6.62345658,6.53395041,6.61351145,30974011,0.0,-86.283462,1.083843
2020-06-19,sh.601111,6.62345658,6.71296275,6.59362119,6.68312736,40930820,0.0,-87.191708,1.095252
2020-06-22,sh.601111,6.67318223,6.70301762,6.5637858,6.60356632,63304978,0.0,-86.153712,1.082213
2020-06-23,sh.601111,6.59362119,6.59362119,6.53395041,6.58367606,29103973,0.0,-85.894213,1.078953
2020-06-24,sh.601111,6.58367606,6.61351145,6.5637858,6.61351145,24527442,0.0,-86.283462,1.083843
2020-06-29,sh.601111,6.5637858,6.5637858,6.51406015,6.52400528,37294380,0.0,-85.115715,1.069174
2020-06-30,sh.601111,6.58367606,6.60356632,6.55384067,6.57373093,21675658,0.0,-85.764463,1.077323
2020-07-01,sh.601111,6.5637858,6.61351145,6.51406015,6.61351145,46035202,0.0,-86.283462,1.083843
2020-07-02,sh.601111,6.60356632,6.94170074,6.57373093,6.87208483,122239190,0.0,-89.65695,1.126219
2020-07-03,sh.601111,6.92181048,7.04115204,6.81241405,6.92181048,95958373,0.0,-90.305698,1.134368
2020-07-06,sh.601111,6.97153613,7.42901211,6.97153613,7.38923159,155619957,0.0,-96.403928,1.21097
2020-07-07,sh.601111,7.63785984,7.67764036,7.24999977,7.26989003,165441547,0.0,-94.846933,1.191412
2020-07-08,sh.601111,7.23010951,7.61796958,7.11076795,7.46879263,147164319,0.0,-97.441924,1.224009
2020-07-09,sh.601111,7.46879263,7.51851828,7.3593962,7.50857315,127833096,0.0,-97.960922,1.230528
2020-07-10,sh.601111,7.39917672,7.44890237,7.24005464,7.26989003,96544101,0.0,-94.846933,1.191412
2020-07-13,sh.601111,7.22016438,7.39917672,7.18038386,7.36934133,80292906,0.0,-96.144429,1.20771
2020-07-14,sh.601111,7.31961568,7.33950594,7.07098743,7.19032899,96671992,0.0,-93.808936,1.178373
2020-07-15,sh.601111,7.30967055,7.44890237,7.19032899,7.24999977,106940325,0.0,-94.587434,1.188152
2020-07-16,sh.601111,7.3,7.35,7.03,7.06,82266990,0.0,-91.603194,1.150666
2020-07-17,sh.601111,7.04,7.09,6.91,6.96,54957188,0.0,-90.305698,1.134368
2020-07-20,sh.601111,6.99,7.18,6.91,7.18,58604978,0.0,-93.160189,1.170224
2020-07-21,sh.601111,7.16,7.24,7.12,7.15,55811036,0.0,-92.77094,1.165335
2020-07-22,sh.601111,7.14,7.44,7.11,7.27,101834301,0.0,-94.327935,1.184893
2020-07-23,sh.601111,7.19,7.34,7.11,7.2,59609162,0.0,-93.419688,1.173484
2020-07-24,sh.601111,7.18,7.23,6.95,6.96,57415530,0.0,-90.305698,1.134368
2020-07-27,sh.601111,6.96,7.0,6.83,6.89,34451450,0.0,-89.397451,1.122959
2020-07-28,sh.601111,6.92,6.96,6.79,6.84,43101605,0.0,-88.748703,1.11481
2020-07-29,sh.601111,6.8,6.95,6.77,6.94,40118313,0.0,-90.046199,1.131108
2020-07-30,sh.601111,6.91,6.93,6.83,6.84,43025022,0.0,-88.748703,1.11481
2020-07-31,sh.601111,6.85,6.92,6.78,6.83,40331620,0.0,-88.618954,1.11318
2020-08-03,sh.601111,6.86,6.98,6.85,6.97,50847070,0.0,-90.435448,1.135998
2020-08-04,sh.601111,6.99,7.05,6.9,7.03,49546071,0.0,-91.213945,1.145777
2020-08-05,sh.601111,7.0,7.0,6.88,6.93,59467014,0.0,-89.916449,1.129478
2020-08-06,sh.601111,6.99,7.08,6.93,7.03,66571440,0.0,-91.213945,1.145777
2020-08-07,sh.601111,7.01,7.14,6.92,6.98,59433030,0.0,-90.565197,1.137627
2020-08-10,sh.601111,6.94,7.09,6.85,7.04,57104919,0.0,-91.343695,1.147406
2020-08-11,sh.601111,7.13,7.27,7.03,7.07,93483024,0.0,-91.732943,1.152296
2020-08-12,sh.601111,7.1,7.38,7.09,7.36,182178738,0.0,-95.495681,1.199561
2020-08-13,sh.601111,7.31,7.34,7.2,7.29,77609271,0.0,-94.587434,1.188152
2020-08-14,sh.601111,7.23,7.28,7.17,7.27,52480856,0.0,-94.327935,1.184893
2020-08-17,sh.601111,7.29,7.36,7.23,7.3,76283015,0.0,-94.717183,1.189782
2020-08-18,sh.601111,7.31,7.33,7.2,7.24,52319406,0.0,-93.938686,1.180003
2020-08-19,sh.601111,7.28,7.44,7.25,7.35,108514506,0.0,-95.365931,1.197931
2020-08-20,sh.601111,7.35,7.54,7.27,7.3,102103296,0.0,-94.717183,1.189782
2020-08-21,sh.601111,7.3,7.45,7.14,7.3,101059016,0.0,-94.717183,1.189782
2020-08-24,sh.601111,7.29,7.36,7.18,7.22,64166329,0.0,-93.679187,1.176744
2020-08-25,sh.601111,7.29,7.37,7.21,7.23,68228951,0.0,-93.808936,1.178373
2020-08-26,sh.601111,7.21,7.23,7.06,7.08,58712060,0.0,-91.862693,1.153926
2020-08-27,sh.601111,7.08,7.12,7.02,7.11,32901273,0.0,-92.251942,1.158815
2020-08-28,sh.601111,7.1,7.18,7.08,7.16,38024801,0.0,-92.900689,1.166964
2020-08-31,sh.601111,7.16,7.28,7.12,7.25,60570924,0.0,-17.061691,1.271604
2020-09-01,sh.601111,7.25,7.3,7.17,7.23,45221460,0.0,-17.014624,1.268096
2020-09-02,sh.601111,7.27,7.27,7.11,7.18,36015037,0.0,-16.896957,1.259326
2020-09-03,sh.601111,7.25,7.35,7.22,7.25,83007797,0.0,-17.061691,1.271604
2020-09-04,sh.601111,7.17,7.43,7.15,7.42,95916798,0.0,-17.461758,1.301421
2020-09-07,sh.601111,7.38,7.6,7.36,7.52,129695224,0.0,-17.697092,1.31896
2020-09-08,sh.601111,7.57,7.68,7.45,7.56,87220692,0.0,-17.791225,1.325976
2020-09-09,sh.601111,7.62,7.78,7.54,7.68,105234801,0.0,-18.073626,1.347023
2020-09-10,sh.601111,7.69,7.79,7.44,7.46,104901761,0.0,-17.555892,1.308436
2020-09-11,sh.601111,7.47,7.51,7.34,7.41,43927177,0.0,-17.438225,1.299667
2020-09-14,sh.601111,7.47,7.53,7.41,7.47,38311738,0.0,-17.579425,1.31019
2020-09-15,sh.601111,7.47,7.99,7.47,7.96,161287232,0.0,-18.73256,1.396133
2020-09-16,sh.601111,7.93,8.25,7.86,8.07,136040184,0.0,-18.991427,1.415427
2020-09-17,sh.601111,8.05,8.15,7.96,8.11,65459072,0.0,-19.08556,1.422442
2020-09-18,sh.601111,8.06,8.17,7.95,8.1,57815719,0.0,-19.062027,1.420688
2020-09-21,sh.601111,8.06,8.09,7.84,7.98,65575370,0.0,-18.779627,1.399641
2020-09-22,sh.601111,7.84,7.85,7.56,7.58,104389216,0.0,-17.838292,1.329484
2020-09-23,sh.601111,7.62,7.69,7.46,7.5,52464244,0.0,-17.650025,1.315452
